iter	Passed	Remaining
325	579	1198
326	580	1195
327	581	1192
328	583	1189
329	584	1187
330	586	1185
331	587	1182
332	589	1180
333	590	1178
334	592	1176
335	593	1173
336	595	1170
337	596	1168
338	597	1165
339	599	1163
340	601	1161
341	602	1158
342	603	1156
343	604	1153
344	606	1150
345	607	1149
346	609	1146
347	610	1143
348	611	1141
349	613	1139
350	615	1137
351	616	1135
352	618	1132
353	620	1131
354	621	1129
355	624	1129
356	625	1126
357	626	1124
358	628	1121
359	629	1119
360	631	1117
361	632	1114
362	633	1112
363	635	1110
364	636	1108
365	638	1105
366	639	1103
367	641	1101
368	642	1098
369	643	1095
370	645	1094
371	646	1091
372	647	1089
373	649	1086
374	650	1083
375	651	1081
376	652	1079
377	654	1076
378	655	1073
379	656	1071
380	658	1069
381	660	1067
382	661	1065
383	662	1062
384	663	1060
385	664	1057
386	666	1055
387	667	1052
388	668	1050
389	669	1047
390	670	1044
391	672	1042
392	673	1040
393	674	1038
394	676	1035
395	677	1033
396	678	1030
397	679	1027
398	680	1025
399	682	1023
400	683	1020
401	684	1018
402	685	1015
403	686	1013
404	688	1011
405	689	1008
406	691	1006
407	692	1004
408	693	1002
409	695	1000
410	696	997
411	697	995
412	698	993
413	699	990
414	701	988
415	702	986
416	703	983
417	705	982
418	706	979
419	707	977
420	709	975
421	710	973
422	711	970
423	712	968
424	714	966
425	715	964
426	717	962
427	718	959
428	719	957
429	720	955
430	721	952
431	723	951
432	724	949
433	726	946
434	727	944
435	728	942
436	729	940
437	731	938
438	732	936
439	733	933
440	735	932
441	736	930
442	738	929
443	740	927
444	741	925
445	743	923
446	745	921
447	747	920
448	748	918
449	751	918
450	754	918
451	756	917
452	758	915
453	760	914
454	762	912
455	763	911
456	765	909
457	767	907
458	768	906
459	770	904
460	772	902
461	773	900
462	775	899
